"sensor_id","created_at","co2","gas","humidity","pressure","temperature"
"scd41","1712242565000","1173","","41.41","","26.73"
"scd41","1712242585000","1172","","41.44","","26.74"
"scd41","1712242605000","1170","","41.48","","26.72"
"scd41","1712242625000","1170","","41.44","","26.76"
"scd41","1712242645000","1169","","41.41","","26.76"
"scd41","1712242665000","1170","","41.43","","26.76"
"scd41","1712242685000","1171","","41.46","","26.75"
"scd41","1712242705000","1172","","41.47","","26.75"
"scd41","1712242725000","1172","","41.42","","26.75"
"scd41","1712242745000","1172","","41.46","","26.76"
"scd41","1712242765000","1172","","41.45","","26.76"
"scd41","1712242785000","1173","","41.49","","26.77"
"scd41","1712242805000","1171","","41.49","","26.75"
"scd41","1712242825000","1170","","41.44","","26.77"
"scd41","1712242845000","1170","","41.48","","26.75"
"scd41","1712242865000","1171","","41.45","","26.78"
"scd41","1712242885000","1173","","41.47","","26.79"
"scd41","1712242905000","1175","","41.42","","26.76"
"scd41","1712242925000","1176","","41.39","","26.78"
"scd41","1712242945000","1176","","41.4","","26.77"
"scd41","1712242965000","1176","","41.4","","26.79"
"scd41","1712242985000","1175","","41.4","","26.8"
"scd41","1712243005000","1174","","41.38","","26.78"
"scd41","1712243025000","1175","","41.39","","26.77"
"scd41","1712243045000","1175","","41.37","","26.78"
"scd41","1712243065000","1175","","41.31","","26.77"
"scd41","1712243085000","1174","","41.33","","26.77"
"scd41","1712243105000","1174","","41.42","","26.78"
"scd41","1712243125000","1175","","41.52","","26.77"
"scd41","1712243145000","1174","","41.42","","26.79"
"scd41","1712243165000","1173","","41.42","","26.77"
"scd41","1712243185000","1175","","41.43","","26.78"
"scd41","1712243205000","1174","","41.39","","26.77"
"scd41","1712243225000","1174","","41.47","","26.79"
"scd41","1712243245000","1175","","41.35","","26.79"
"scd41","1712243265000","1173","","41.33","","26.8"
"scd41","1712243285000","1175","","41.3","","26.8"
"scd41","1712243305000","1174","","41.31","","26.79"
"scd41","1712243325000","1173","","41.3","","26.8"
"scd41","1712243345000","1173","","41.21","","26.8"
"scd41","1712243365000","1173","","41.23","","26.81"
"scd41","1712243385000","1172","","41.25","","26.8"
"scd41","1712243405000","1171","","41.24","","26.81"
"scd41","1712243425000","1170","","41.18","","26.79"
"scd41","1712243445000","1171","","41.18","","26.8"
"scd41","1712243465000","1172","","41.15","","26.81"
"scd41","1712243485000","1170","","41.25","","26.8"
"scd41","1712243505000","1170","","41.21","","26.8"
"scd41","1712243525000","1172","","41.23","","26.8"
"scd41","1712243545000","1172","","41.25","","26.8"
